"문제 ID","난이도","문제 설명","풀이 단계 번호","풀이 단계 설명","관점 분류","분류에 대한 설명"
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","1","√2a + √3b + √5c = 0이라고 가정한다.","특수가정","문제에서 주어진 조건을 바탕으로 풀이를 시작하는 가정으로 전체를 볼 필요가 없음."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","2","양변에서 √5c를 우변으로 옮겨, √2a + √3b = -√5c로 만든다.","가정이 아닌 관점","문제 풀이를 위한 단순한 식 변형."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","3","양변을 제곱하여 2a^2 + 2√6ab + 3b^2 = 5c^2을 얻는다.","가정이 아닌 관점","문제 해결을 위한 연산적 전개로 가정이 아님."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","4","제곱 후, 2a^2 + 3b^2 - 5c^2 + 2ab√6 = 0이 됨을 확인한다.","가정이 아닌 관점","연산적 결과를 확인하는 과정으로 가정이 아님."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","5","a, b, c가 유리수이므로 2a^2 + 3b^2 - 5c^2 = 0이고 ab = 0임을 확인한다.","가정이 아닌 관점","유리수 조건을 활용하여 필요한 조건만으로 풀이를 간소화하는 과정."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","6","ab = 0에서 a = 0 또는 b = 0임을 고려한다.","가정이 아닌 관점","ab = 0을 해석하여 각 경우를 확인하는 과정."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","7","a = 0인 경우를 가정한다.","일반가정","a = 0일 때를 가정하여 경우를 나누는 과정으로, 다른 경우도 확인해야 함."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","8","a = 0일 때, b + √(5/3)c = 0이라는 결과를 얻는다.","가정이 아닌 관점","a = 0일 때 나오는 단순 결과 확인으로 가정이 아님."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","9","b와 c는 유리수이므로 b = 0이고 c = 0임을 확인한다.","가정이 아닌 관점","유리수 조건을 활용하여 b = 0, c = 0임을 보임."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","10","b = 0일 경우를 가정한다.","일반가정","b = 0일 때를 가정하여 경우를 나누는 과정으로, 다른 경우도 확인해야 함."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","11","b = 0일 때, a + √(5/2)c = 0이라는 결과를 얻는다.","가정이 아닌 관점","b = 0일 때 나오는 단순 결과 확인으로 가정이 아님."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","12","a와 c는 유리수이므로 a = 0이고 c = 0임을 확인한다.","가정이 아닌 관점","유리수 조건을 활용하여 a = 0, c = 0임을 보임."
"5-19","중","a, b, c가 유리수일 때, √2a + √3b + √5c = 0일 조건은 a = 0, b = 0, c = 0임을 증명하라.","13","(i)와 (ii)로부터 a = 0, b = 0, c = 0임을 결론 내린다.","가정이 아닌 관점","두 가지 결과를 종합하여 최종 결론을 내리는 과정."
